"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",416,9632508552,23155068.634615,40.01,18147688,48183887,24242934.118569
"statevec_controlledCompactUnitaryKernel",208,8991847041,43230033.850962,37.35,43032184,43495703,41397601.882860
"statevec_controlledCompactUnitaryDistributedKernel",48,2860133432,59586113.166667,11.88,59456263,59671117,65793.814891
"statevec_controlledNotDistributedKernel",96,1608873386,16759097.770833,6.68,12722099,40810941,7006682.563002
"statevec_hadamardKernel",31,812699862,26216124.580645,3.38,25412012,27131532,487251.793681
"statevec_hadamardDistributedKernel",3,122569341,40856447.000000,0.5091,40827218,40881303,27306.393995
"statevec_findProbabilityOfZeroKernel",2,24586289,12293144.500000,0.1021,12290104,12296185,4299.916336
"statevec_initZeroStateDistributedKernel",2,24312800,12156400.000000,0.1010,12155520,12157280,1244.507935
"copySharedReduceBlock",6,39520,6586.666667,1.641e-04,1760,12480,4845.033196
