"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22907050496,26299713.543054,48.71,25412085,31922201,26152634.311824
"statevec_controlledNotKernel",870,19829220329,22792207.274713,42.17,18105499,52172027,24192602.024292
"statevec_pauliXDistributedKernel",90,2241822570,24909139.666667,4.77,24860723,24949845,19275.583992
"statevec_controlledNotDistributedKernel",90,2021752971,22463921.900000,4.30,17544379,24969368,3492833.936750
"statevec_initZeroStateDistributedKernel",2,24293363,12146681.500000,0.0517,12145321,12148042,1924.037552
