"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",416,9640206185,23173572.560096,40.02,18144806,48193307,24243108.333314
"statevec_controlledCompactUnitaryKernel",208,8993205338,43236564.125000,37.33,42933470,43664807,41397677.008482
"statevec_controlledCompactUnitaryDistributedKernel",48,2863890365,59664382.604167,11.89,59617190,59730479,27882.400178
"statevec_controlledNotDistributedKernel",96,1608944567,16759839.239583,6.68,12734097,40811564,7005109.717494
"statevec_hadamardKernel",31,813099487,26229015.709677,3.38,25408484,27142884,484151.019603
"statevec_hadamardDistributedKernel",3,122815848,40938616.000000,0.5098,40916640,40949765,19032.455254
"statevec_findProbabilityOfZeroKernel",2,24606272,12303136.000000,0.1021,12296176,12310096,9842.926394
"statevec_initZeroStateDistributedKernel",2,24315688,12157844.000000,0.1009,12156164,12159524,2375.878785
"copySharedReduceBlock",6,38720,6453.333333,1.607e-04,1920,12640,4768.608462
