"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22859227232,26244807.384615,49.38,25388018,32168207,26150343.136986
"statevec_controlledNotKernel",870,19987453498,22974084.480460,43.18,18139706,52199538,24174482.663642
"statevec_pauliXDistributedKernel",90,2255910002,25065666.688889,4.87,25022098,25129954,16368.153826
"statevec_controlledNotDistributedKernel",90,1162527090,12916967.666667,2.51,10462416,17824807,3477804.441639
"statevec_initZeroStateDistributedKernel",2,24312964,12156482.000000,0.0525,12154882,12158082,2262.741700
