"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22782680494,26156923.644087,51.98,25245315,31806144,26150526.196694
"statevec_controlledNotKernel",870,19741651076,22691552.960920,45.04,18006114,52057189,24192601.122288
"statevec_pauliXDistributedKernel",30,747141783,24904726.100000,1.70,24879730,24948691,17462.754552
"statevec_controlledNotDistributedKernel",30,535798087,17859936.233333,1.22,17843700,17875072,7399.380594
"statevec_initZeroStateDistributedKernel",2,24264518,12132259.000000,0.0554,12131539,12132979,1018.233765
