"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22851067506,26235439.157290,50.54,25380539,32023283,26149352.223532
"statevec_controlledNotKernel",870,19987570949,22974219.481609,44.21,18146261,52065424,24169276.614548
"statevec_pauliXDistributedKernel",60,1503901711,25065028.516667,3.33,25041312,25095865,10968.072018
"statevec_controlledNotDistributedKernel",60,848555022,14142583.700000,1.88,10464663,17834125,3704292.256092
"statevec_initZeroStateDistributedKernel",2,24311854,12155927.000000,0.0538,12155687,12156167,339.411255
