"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22848742019,26232769.252583,50.51,25378992,32040928,26149001.441894
"statevec_controlledNotKernel",870,20008617959,22998411.447126,44.23,18167644,52069385,24167469.392878
"statevec_pauliXDistributedKernel",60,1503472557,25057875.950000,3.32,25023630,25091654,12686.795869
"statevec_controlledNotDistributedKernel",60,850449970,14174166.166667,1.88,10510389,17848455,3691005.465118
"statevec_initZeroStateDistributedKernel",2,24311150,12155575.000000,0.0537,12154054,12157096,2151.018828
