"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",901,17115612784,18996240.603774,52.70,17336975,72191575,18713737.476031
"statevec_controlledNotKernel",900,15341325180,17045916.866667,47.24,14281512,86710177,17278197.897868
"statevec_initZeroStateKernel",2,21586158,10793079.000000,0.0665,10715898,10870260,109150.416958
