"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",448,8401044348,18752331.133929,50.17,15614861,94185056,17596237.439923
"statevec_controlledCompactUnitaryKernel",224,5518193804,24634793.767857,32.95,23028141,87510119,19988459.634309
"statevec_controlledCompactUnitaryDistributedKernel",32,1101562537,34423829.281250,6.58,33575850,35796986,578151.823619
"statevec_controlledNotDistributedKernel",64,996489534,15570148.968750,5.95,12757074,28926197,5173974.632791
"statevec_hadamardKernel",32,625128722,19535272.562500,3.73,18465048,26252310,1355863.909103
"statevec_hadamardDistributedKernel",2,59462881,29731440.500000,0.3551,29549475,29913406,257338.077984
"statevec_initZeroStateDistributedKernel",2,21857535,10928767.500000,0.1305,10799587,11057948,182688.815094
"statevec_findProbabilityOfZeroKernel",2,20846755,10423377.500000,0.1245,10229307,10617448,274457.133157
"copySharedReduceBlock",6,66560,11093.333333,3.975e-04,5200,20360,7089.898918
