"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",416,9641907143,23177661.401442,40.04,18152929,48185529,24242328.511842
"statevec_controlledCompactUnitaryKernel",208,8988935535,43216036.225962,37.32,43010808,43547126,41397597.515346
"statevec_controlledCompactUnitaryDistributedKernel",48,2859386599,59570554.145833,11.87,59534345,59637543,22448.159096
"statevec_controlledNotDistributedKernel",96,1608803989,16758374.885417,6.68,12721269,40808757,7004112.580996
"statevec_hadamardKernel",31,812558092,26211551.354839,3.37,25407476,27188111,494485.498364
"statevec_hadamardDistributedKernel",3,122662030,40887343.333333,0.5093,40882172,40891768,4841.377645
"statevec_findProbabilityOfZeroKernel",2,24596779,12298389.500000,0.1021,12296789,12299990,2263.448807
"statevec_initZeroStateDistributedKernel",2,24311157,12155578.500000,0.1009,12155338,12155819,340.118362
"copySharedReduceBlock",6,39200,6533.333333,1.628e-04,1920,12800,4838.688528
