"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",901,17336711356,19241633.025527,49.43,18098052,72688504,19183173.617699
"statevec_controlledNotKernel",900,15581671112,17312967.902222,44.43,14672043,77105565,18058241.063488
"statevec_pauliXDistributedKernel",60,1145431711,19090528.516667,3.27,18891896,19357497,111148.369121
"statevec_controlledNotDistributedKernel",60,986027049,16433784.150000,2.81,13346599,19654618,2901672.015270
"statevec_initZeroStateDistributedKernel",2,22341786,11170893.000000,0.0637,10981632,11360154,267655.473028
