"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",416,9635535613,23162345.223558,40.01,18156347,48192739,24242802.978529
"statevec_controlledCompactUnitaryKernel",208,8992392512,43232656.307692,37.34,43027110,43611427,41397629.606409
"statevec_controlledCompactUnitaryDistributedKernel",48,2859361199,59570024.979167,11.87,59469928,59681105,53165.524750
"statevec_controlledNotDistributedKernel",96,1608698309,16757274.052083,6.68,12725952,40814663,7006087.537882
"statevec_hadamardKernel",31,812661149,26214875.774194,3.37,25383082,27080208,487772.216387
"statevec_hadamardDistributedKernel",3,122609147,40869715.666667,0.5092,40854303,40890463,18660.932493
"statevec_findProbabilityOfZeroKernel",2,24594310,12297155.000000,0.1021,12296195,12298115,1357.645020
"statevec_initZeroStateDistributedKernel",2,24313002,12156501.000000,0.1010,12155541,12157461,1357.645020
"copySharedReduceBlock",6,40321,6720.166667,1.674e-04,1920,13281,4955.617435
