"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22854574527,26239465.587830,48.45,25383781,32062855,26149371.612151
"statevec_controlledNotKernel",870,20000257777,22988802.042529,42.40,18153356,52080697,24167431.363100
"statevec_pauliXDistributedKernel",90,2254832705,25053696.722222,4.78,25020584,25081054,14105.080777
"statevec_controlledNotDistributedKernel",90,2038352621,22648362.455556,4.32,17799590,25092895,3433046.677455
"statevec_initZeroStateDistributedKernel",2,24307934,12153967.000000,0.0515,12153647,12154287,452.548340
