"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22856769879,26241986.083812,48.91,25381706,32018361,26148789.850421
"statevec_controlledNotKernel",870,19981640839,22967403.263218,42.76,18093993,52076199,24169596.370932
"statevec_pauliXDistributedKernel",90,2265082336,25167581.511111,4.85,25137225,25201707,13405.511028
"statevec_controlledNotDistributedKernel",90,1606523691,17850263.233333,3.44,10455403,25218659,6044587.794591
"statevec_initZeroStateDistributedKernel",2,24308892,12154446.000000,0.0520,12154285,12154607,227.688384
