"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",420,9550329675,22738880.178571,45.62,18014566,48328349,21832095.025346
"statevec_controlledCompactUnitaryKernel",210,9096299747,43315713.080952,43.45,42854896,43486590,41002352.640071
"statevec_controlledCompactUnitaryDistributedKernel",15,889565865,59304391.000000,4.25,59245966,59388694,40922.782143
"statevec_hadamardKernel",31,807588133,26051230.096774,3.86,25327207,27045135,455942.567546
"statevec_controlledNotDistributedKernel",30,500065036,16668834.533333,2.39,12655211,41547071,7483172.461840
"statevec_hadamardDistributedKernel",1,40275053,40275053.000000,0.1924,40275053,40275053,0.00000000e+00
"statevec_findProbabilityOfZeroKernel",2,24550104,12275052.000000,0.1173,12271212,12278892,5430.580080
"statevec_initZeroStateDistributedKernel",2,24170732,12085366.000000,0.1155,12083366,12087366,2828.427125
"copySharedReduceBlock",6,39520,6586.666667,1.888e-04,1920,12800,4846.089833
