"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",901,17235541947,19129347.332963,49.30,17944701,78279580,19249411.563017
"statevec_controlledNotKernel",900,15835389032,17594876.702222,45.30,14819443,76453074,18079109.866751
"statevec_pauliXDistributedKernel",60,1199809326,19996822.100000,3.43,19168737,43379427,3074661.647855
"statevec_controlledNotDistributedKernel",60,664200940,11070015.666667,1.90,8041463,13988881,2785367.980607
"statevec_initZeroStateDistributedKernel",2,22559026,11279513.000000,0.0645,11112432,11446594,236288.216215
