"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",448,8707896394,19437268.736607,50.91,16032682,95287443,20478910.017647
"statevec_controlledCompactUnitaryKernel",224,5507813476,24588453.017857,32.20,23564822,67432241,19432678.418486
"statevec_controlledCompactUnitaryDistributedKernel",32,1133036660,35407395.625000,6.62,34446552,36952379,632968.288443
"statevec_controlledNotDistributedKernel",64,1015929508,15873898.562500,5.94,12826354,29225478,5235314.665590
"statevec_hadamardKernel",32,637735592,19929237.250000,3.73,18544088,26664491,1431360.588944
"statevec_hadamardDistributedKernel",2,56841305,28420652.500000,0.3323,27442951,29398354,1382678.721253
"statevec_initZeroStateDistributedKernel",2,22573978,11286989.000000,0.1320,11137148,11436830,211907.174400
"statevec_findProbabilityOfZeroKernel",2,21334708,10667354.000000,0.1247,10577309,10757399,127342.860224
"copySharedReduceBlock",6,67320,11220.000000,3.936e-04,4920,20800,7297.725673
