"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22849817075,26234003.530425,50.04,25381309,32048083,26148888.863093
"statevec_controlledNotKernel",870,19995322662,22983129.496552,43.79,18148822,52110544,24170685.778362
"statevec_pauliXDistributedKernel",60,1503598206,25059970.100000,3.29,25029506,25096520,12921.225334
"statevec_controlledNotDistributedKernel",60,1286507309,21441788.483333,2.82,17797162,25089656,3658379.136638
"statevec_initZeroStateDistributedKernel",2,24315552,12157776.000000,0.0533,12156496,12159056,1810.193360
