"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",416,9631086993,23151651.425481,40.00,18143067,48179298,24243163.523169
"statevec_controlledCompactUnitaryKernel",208,8992568707,43233503.399038,37.35,43049989,43589505,41397625.281219
"statevec_controlledCompactUnitaryDistributedKernel",48,2858476056,59551584.500000,11.87,59477598,59599819,24927.574956
"statevec_controlledNotDistributedKernel",96,1608693499,16757223.947917,6.68,12726431,40808584,7005803.111375
"statevec_hadamardKernel",31,812733771,26217218.419355,3.38,25377151,27104358,482527.086889
"statevec_hadamardDistributedKernel",3,122426258,40808752.666667,0.5085,40796699,40816377,10560.310909
"statevec_findProbabilityOfZeroKernel",2,24590790,12295395.000000,0.1021,12295395,12295395,0.00000000e+00
"statevec_initZeroStateDistributedKernel",2,24313163,12156581.500000,0.1010,12155861,12157302,1018.940872
"copySharedReduceBlock",6,39840,6640.000000,1.655e-04,1920,12640,4809.324277
