"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22850595505,26234897.250287,51.75,25383387,32069326,26148966.083411
"statevec_controlledNotKernel",870,19998362026,22986623.018391,45.29,18154597,52070027,24172881.511612
"statevec_pauliXDistributedKernel",30,751817292,25060576.400000,1.70,25038610,25083066,10138.501365
"statevec_controlledNotDistributedKernel",30,534582710,17819423.666667,1.21,17800499,17837790,8646.912329
"statevec_initZeroStateDistributedKernel",2,24313594,12156797.000000,0.0551,12155996,12157598,1132.785063
