"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_controlledNotKernel",450,8620877434,19157505.408889,58.40,15567620,89987015,20387313.575362
"statevec_controlledCompactUnitaryKernel",225,5425492523,24113300.102222,36.75,23108422,49769495,19209007.773830
"statevec_hadamardKernel",32,672606816,21018963.000000,4.56,18441804,70174133,9065556.081445
"statevec_initZeroStateKernel",2,21845899,10922949.500000,0.1480,10785189,11060710,194822.767459
"statevec_findProbabilityOfZeroKernel",2,21716439,10858219.500000,0.1471,10790160,10926279,96250.667948
"copySharedReduceBlock",6,67600,11266.666667,4.579e-04,4960,22200,7266.522323
