"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",901,17242831120,19137437.425083,51.51,17429697,79050539,19638095.744309
"statevec_controlledNotKernel",900,15240574604,16933971.782222,45.53,14374801,58861542,17080235.773975
"statevec_pauliXDistributedKernel",30,562220834,18740694.466667,1.68,18332381,19094948,189529.852325
"statevec_controlledNotDistributedKernel",30,403730458,13457681.933333,1.21,13295434,13632877,92137.453814
"statevec_initZeroStateDistributedKernel",2,22162046,11081023.000000,0.0662,10945261,11216785,191996.461655
