"Name","Calls","TotalDurationNs","AverageNs","Percentage","MinNs","MaxNs","StdDev"
"statevec_pauliXKernel",871,22859186942,26244761.127440,50.04,25383794,32022675,26149467.057937
"statevec_controlledNotKernel",870,20004337951,22993491.897701,43.79,18167974,52073861,24166446.663798
"statevec_pauliXDistributedKernel",60,1503810633,25063510.550000,3.29,25023635,25096287,14690.344400
"statevec_controlledNotDistributedKernel",60,1287159722,21452662.033333,2.82,17799501,25100115,3656660.758625
"statevec_initZeroStateDistributedKernel",2,24312604,12156302.000000,0.0532,12156143,12156461,224.859956
